month,no_of_rainy_days,total_rainfall,maximum_rainfall_in_a_day,mean_sunshine_hrs,mean_rh,temp_mean_daily_min,wet_bulb_temperature
2014-05,18,125.8,22.2,5.8,80.2,25.8,25.811424731182797
2014-06,11,71.4,18.8,6.0,77.5,26.3,25.880972222222223
2014-07,15,148.6,29.0,5.5,78.3,25.8,25.704704301075267
2014-08,20,241.0,44.2,4.5,79.7,25.2,24.933198924731183
2014-09,9,83.6,34.6,7.0,75.6,25.7,25.079583333333332
2014-10,10,120.0,32.8,6.0,77.0,25.7,25.170295698924733
2014-11,23,250.8,64.4,5.4,82.4,24.8,25.094722222222224
2014-12,17,245.6,48.2,3.7,82.6,24.7,24.71545698924731
2015-01,6,79.6,33.6,7.4,77.6,24.6,23.8377688172043
2015-02,6,18.8,10.8,7.3,75.4,24.4,23.633035714285715
2015-03,5,84.4,46.0,7.3,75.8,25.5,24.765860215053763
2015-04,13,73.2,18.8,7.2,77.1,25.9,25.373055555555553
2015-05,12,89.0,22.2,5.8,78.9,26.4,25.795564516129033
2015-06,10,95.8,28.4,6.7,75.8,26.6,25.58625
2015-07,13,116.8,45.8,7.1,74.9,26.7,25.54422043010753
2015-08,11,185.8,63.2,6.1,76.7,26.0,25.17755376344086
2015-09,8,61.6,18.4,4.3,75.0,26.5,25.183611111111112
2015-10,9,87.2,28.6,4.7,75.4,26.1,25.2127688172043
2015-11,13,72.6,25.8,4.8,79.1,25.5,25.090416666666666
2015-12,19,302.3,40.4,5.3,81.1,25.0,25.13037634408602
2016-01,15,126.6,39.6,7.2,79.6,26.0,25.472580645161287
2016-02,10,186.0,71.8,6.5,78.8,25.6,24.938505747126438
2016-03,6,6.2,2.4,8.0,74.7,26.6,25.40456989247312
2016-04,14,89.8,18.2,7.0,75.6,26.7,25.945277777777775
2016-05,12,193.8,54.8,6.2,77.4,26.5,26.075806451612905
2016-06,13,162.8,67.8,5.4,77.7,26.1,25.419166666666666
2016-07,20,168.6,59.4,6.3,77.3,25.8,25.259543010752687
2016-08,15,139.2,30.6,6.7,74.0,26.2,25.236155913978497
2016-09,15,118.9,34.0,5.5,73.9,25.1,24.610138888888887
2016-10,16,181.0,75.4,4.6,72.0,25.2,24.35282258064516
2016-11,20,290.2,65.6,3.5,77.6,24.9,24.353194444444444
2016-12,23,292.6,73.0,5.1,72.8,24.7,23.570833333333333
2017-01,21,197.6,60.6,4.8,84.8,24.7,24.893010752688173
2017-02,15,158.4,31.0,7.1,83.2,24.7,24.679464285714282
2017-03,11,136.2,30.2,6.1,82.5,24.9,24.988440860215057
2017-04,21,208.6,42.8,5.3,83.5,25.0,25.54638888888889
2017-05,15,190.0,44.8,5.9,82.8,25.9,26.114650537634407
2017-06,10,106.0,29.6,6.3,80.2,25.9,25.75847222222222
2017-07,9,79.6,30.2,7.0,79.6,26.0,25.50577956989247
2017-08,18,84.2,29.4,6.1,79.9,25.9,25.39059139784946
2017-09,19,124.4,20.2,5.7,81.0,25.4,25.380555555555556
2017-10,18,120.8,31.2,5.5,82.5,25.3,25.47970430107527
2017-11,24,268.6,45.2,4.2,86.3,24.6,25.229999999999997
2017-12,23,371.2,69.8,5.6,85.2,24.6,25.010080645161292
2018-01,25,287.0,45.8,4.1,86.6,24.0,24.34543010752688
2018-02,5,14.8,13.0,8.0,77.2,24.8,24.058630952380952
2018-03,10,44.6,15.2,6.4,78.4,25.4,24.96532258064516
2018-04,14,61.2,14.0,6.8,78.5,25.8,25.470000000000002
2018-05,19,132.2,47.4,5.8,79.0,26.2,25.72244623655914
2018-06,17,182.6,46.8,4.1,79.3,25.6,25.57097222222222
2018-07,10,143.2,32.4,6.1,77.7,26.0,25.403091397849465
2018-08,11,121.6,34.6,6.7,77.0,26.1,25.324596774193548
2018-09,13,144.4,45.0,6.0,77.1,25.3,24.81625
2018-10,18,234.4,60.6,6.1,79.7,25.2,25.083870967741937
2018-11,27,169.6,20.6,3.8,83.2,24.6,25.04638888888889
2018-12,19,172.6,43.8,5.1,81.5,25.3,25.06532258064516
2019-01,9,63.6,38.2,7.1,75.6,25.6,24.605376344086025
2019-02,5,31.6,13.4,9.2,74.1,25.4,24.58169642857143
2019-03,6,72.2,29.0,8.3,72.3,25.6,24.7375
2019-04,9,174.8,52.4,5.9,77.6,25.9,25.502777777777776
2019-05,13,69.0,17.2,7.0,79.2,26.5,26.34193548387097
2019-06,16,173.8,37.6,5.3,79.5,26.1,25.61277777777778
2019-07,8,12.2,6.6,7.5,75.2,26.9,25.546505376344083
2019-08,6,11.8,3.8,7.6,72.1,27.1,25.14758064516129
2019-09,4,22.8,16.4,6.7,73.0,26.6,25.17666666666667
2019-10,15,176.8,92.2,6.5,78.1,25.3,25.08306451612903
2019-11,15,137.4,73.4,5.5,79.2,25.4,25.128194444444443
2019-12,14,421.5,74.2,4.8,83.9,24.6,24.581317204301076
2020-01,6,88.4,38.0,7.1,77.9,25.2,24.690725806451614
2020-02,8,65.0,23.8,8.3,76.0,25.3,24.543390804597703
2020-03,8,108.8,47.4,7.6,75.2,25.9,25.122580645161293
2020-04,12,188.0,51.8,7.1,76.4,26.0,25.509722222222223
2020-05,16,255.6,53.8,5.7,79.1,26.1,26.02405913978495
2020-06,21,233.8,41.0,4.3,80.2,25.5,25.440416666666664
2020-07,22,140.8,30.4,5.7,78.2,25.5,25.021639784946235
2020-08,12,103.4,34.6,6.4,76.8,25.9,25.113844086021505
2020-09,18,150.2,32.8,4.8,79.0,24.9,24.719305555555557
2020-10,16,78.8,19.0,4.3,75.4,25.6,24.916263440860217
2020-11,19,220.6,64.2,4.0,81.7,25.0,24.803055555555556
2020-12,20,253.2,58.2,5.2,81.1,24.5,24.651612903225807
2021-01,17,692.8,210.6,4.2,82.6,23.8,23.73333333333333
2021-02,2,1.0,0.6,8.2,73.8,24.8,23.745386904761904
2021-03,14,182.4,38.0,7.3,76.6,25.0,24.68938172043011
2021-04,14,290.4,83.8,6.8,77.4,25.3,25.122500000000002
2021-05,13,245.8,49.8,6.0,79.3,26.0,25.861424731182797
2021-06,20,93.4,23.8,6.5,77.8,25.6,25.489305555555553
2021-07,12,195.8,75.0,6.8,76.5,26.2,25.36922043010753
2021-08,24,293.6,71.4,4.8,80.4,24.8,24.96317204301075
2021-09,14,205.4,63.4,6.4,77.3,25.6,25.195833333333333
2021-10,14,177.0,59.6,6.2,78.3,25.8,25.493682795698923
2021-11,23,312.4,47.8,4.9,81.7,24.8,25.111944444444443
2021-12,15,119.6,46.8,5.4,79.7,25.4,24.95604838709677
2022-01,9,99.8,50.0,8.3,77.4,24.9,24.380913978494625
2022-02,16,175.0,29.6,5.9,80.3,24.8,24.64985119047619
2022-03,21,163.2,36.2,6.4,79.2,25.1,25.253225806451614
2022-04,18,239.6,58.8,5.2,80.0,25.1,25.375416666666666
2022-05,12,102.0,44.6,6.7,76.5,26.2,25.881317204301077
2022-06,17,211.8,59.4,4.7,79.1,25.3,25.118055555555557
2022-07,16,145.2,27.8,6.2,76.8,25.8,25.43911290322581
2022-08,15,141.4,32.4,5.5,77.4,25.8,25.072311827956987
