month,no_of_rainy_days,total_rainfall,maximum_rainfall_in_a_day,mean_sunshine_hrs,mean_rh,temp_mean_daily_min,wet_bulb_temperature,spy_volume,spy_return
2021-04,14,290.4,83.8,6.8,77.4,25.3,25.122500000000002,1462106600,5.63590238895928
2021-05,13,245.8,49.8,6.0,79.3,26.0,25.861424731182797,1547235900,0.6566146625316849
2021-06,20,93.4,23.8,6.5,77.8,25.6,25.489305555555553,1282152400,1.9093493516912918
2021-07,12,195.8,75.0,6.8,76.5,26.2,25.36922043010753,1422104700,2.7763926281906715
2021-08,24,293.6,71.4,4.8,80.4,24.8,24.96317204301075,1254001400,2.9759764435574265
2021-09,14,205.4,63.4,6.4,77.3,25.6,25.195833333333333,1745559600,-4.965004987635746
2021-10,14,177.0,59.6,6.2,78.3,25.8,25.493682795698923,1508665200,7.35919522872055
2021-11,23,312.4,47.8,4.9,81.7,24.8,25.111944444444443,1335351500,-0.8034836316738625
2021-12,15,119.6,46.8,5.4,79.7,25.4,24.95604838709677,1927433900,4.258497250831894
2022-01,9,99.8,50.0,8.3,77.4,24.9,24.380913978494625,2485167800,-4.94133167261751
2022-02,16,175.0,29.6,5.9,80.3,24.8,24.64985119047619,2297975100,-2.951708157805022
2022-03,21,163.2,36.2,6.4,79.2,25.1,25.253225806451614,2380929500,3.4377027659473036
2022-04,18,239.6,58.8,5.2,80.0,25.1,25.375416666666666,1856757400,-8.493512906099443
2022-05,12,102.0,44.6,6.7,76.5,26.2,25.881317204301077,2418478100,0.22572884246541136
2022-06,17,211.8,59.4,4.7,79.1,25.3,25.118055555555557,1958611900,-8.640693245605934
2022-07,16,145.2,27.8,6.2,76.8,25.8,25.43911290322581,1437748400,9.680498565678919
2022-08,15,141.4,32.4,5.5,77.4,25.8,25.072311827956987,1443394400,-4.080195663669494
